date,open,high,low,close,volume,SMA30,SMA100,EMA10,EMA20,EMA30,EMA100,MACD,RSI,BBL,BBM,BBU,BBB,BBP,ATR,OBV,STOCH,K,D,J,VWAP,PSAR,ADX,DMIp,DMIm,CCI,WILLR,ROC,MFI,STDDEV,ROLLING_STD,KCLe,KCBe,KCUe,DCL,DCM,DCU,ULCER,HVOL,VAR,SR_High_1,SR_High_2,SR_High_3,SR_Low_1,SR_Low_2,SR_Low_3,chart_pattern,candle_pattern
2019-12-03,1.59000003,1.63000000,1.59000003,1.63000000,1000,1.68533336,1.70450003,1.62761092,1.65386228,1.66678135,1.75856513,-0.02809268,46.70727646,1.52044368,1.67800002,1.83555636,18.77906270,0.34767347,0.05967367,-400.00000000,19.44447558,19.44447558,14.81484830,28.70373014,1.61666668,1.33977620,40.09557091,29.28521477,57.04833285,-57.28643173,-38.70967742,-4.11764988,52.29477908,0.08082470,0.08082470,1.54832226,1.65386228,1.75940230,1.54999995,1.70999998,1.87000000,9.99321016,49.89745551,0.00653263,3.75000000,4.00000000,4.80000019,0.20999999,0.28000000,0.36000001,,
2019-12-04,1.62000000,1.63000000,1.60000002,1.63000000,4200,1.68300002,1.70200003,1.62804530,1.65158968,1.66440836,1.75601929,-0.02636621,46.70727646,1.52396283,1.66850002,1.81303720,17.32540422,0.36681622,0.05826062,-400.00000000,26.38891418,26.38891418,19.44447558,40.27779138,1.62000001,1.34878068,39.52859951,28.13964179,54.81672794,-48.50713931,-74.99998828,-4.11764988,76.72806262,0.07414601,0.07414601,1.55038681,1.65158968,1.75279255,1.54999995,1.70999998,1.87000000,9.70143023,49.89745551,0.00549763,3.75000000,4.00000000,4.80000019,0.20999999,0.28000000,0.36000001,,
2019-12-05,1.63000000,1.63000000,1.63000000,1.63000000,300,1.68066669,1.69950003,1.62840070,1.64953352,1.66218847,1.75352386,-0.02471310,46.70727646,1.54157039,1.65700002,1.77242965,13.93236296,0.38304555,0.05548628,-400.00000000,33.33335278,33.33335278,26.38891418,47.22222998,1.63000000,1.35760506,39.00212608,28.13964179,54.81672794,-31.23716925,-74.99998828,-10.43956290,71.34753307,0.05921415,0.05921415,1.55796902,1.64953352,1.74109802,1.54999995,1.70999998,1.87000000,9.13889096,42.90952586,0.00350632,3.75000000,4.00000000,4.80000019,0.20999999,0.28000000,0.36000001,,
2019-12-06,1.61000001,1.64999998,1.61000001,1.64999998,1500,1.67733336,1.69720003,1.63232784,1.64957795,1.66140211,1.75147388,-0.02154086,48.34161526,1.54618620,1.65150002,1.75681384,12.75371690,0.49287825,0.05474883,1100.00000000,36.11112766,36.11112766,31.94446487,44.44445324,1.63666666,1.36625296,38.68371753,26.53456997,54.54198478,-15.43660022,-68.74999551,-11.29032413,71.41047407,0.05402485,0.05402485,1.55911483,1.64957795,1.74004106,1.54999995,1.66999995,1.78999996,8.70969524,42.27577087,0.00291868,3.75000000,4.00000000,4.80000019,0.20999999,0.28000000,0.36000001,,
2019-12-09,1.64999998,1.64999998,1.63000000,1.64999998,600,1.67400002,1.69490003,1.63554096,1.64961814,1.66066649,1.74946450,-0.01881000,48.34161526,1.54606314,1.64900001,1.75193689,12.48476306,0.50485718,0.05309410,1100.00000000,38.88890255,38.88890255,36.11112766,44.44445231,1.64333332,1.37472790,38.38805245,25.74388307,52.91672262,-1.80602461,-58.33332257,-6.25000060,75.13059820,0.05280550,0.05280550,1.56396104,1.64961814,1.73527524,1.54999995,1.66999995,1.78999996,8.53848094,38.25655354,0.00278842,3.75000000,4.00000000,4.80000019,0.20999999,0.28000000,0.36000001,,Doji
2019-12-10,1.66999996,1.66999996,1.66999996,1.66999996,100,1.67633335,1.69280003,1.64180623,1.65155927,1.66126865,1.74789094,-0.01486064,50.03109357,1.54672800,1.64750001,1.74827202,12.23332462,0.61163789,0.05151818,1200.00000000,47.77778162,47.77778162,40.92593728,61.48147031,1.66999996,1.38303334,37.73680961,28.05271119,51.27139531,43.54831663,-49.99999792,-1.76471112,76.86556999,0.05169495,0.05169495,1.57025047,1.65155927,1.73286807,1.54999995,1.66999995,1.78999996,8.47939530,36.78797140,0.00267237,3.75000000,4.00000000,4.80000019,0.20999999,0.28000000,0.36000001,,
2019-12-11,1.66999996,1.66999996,1.66999996,1.66999996,200,1.67533335,1.69070003,1.64693236,1.65331552,1.66183196,1.74634855,-0.01159707,50.03109357,1.54753175,1.64600000,1.74446826,11.96455090,0.62186646,0.04906491,1200.00000000,60.55554025,60.55554025,49.07407481,83.51847115,1.66999996,1.39117267,37.13208411,28.05271119,51.27139531,47.69868518,-49.99999792,-1.76471112,76.86556999,0.05051315,0.05051315,1.57975042,1.65331552,1.72688063,1.54999995,1.66999995,1.78999996,8.34412147,36.78797140,0.00255158,3.75000000,4.00000000,4.80000019,0.20999999,0.28000000,0.36000001,,
2019-12-12,1.60000002,1.60000002,1.60000002,1.60000002,200,1.67200002,1.68790003,1.63839921,1.64823786,1.65784280,1.74345056,-0.01449201,44.42470660,1.54304605,1.64350001,1.74395396,12.22439350,0.28348295,0.05006182,1000.00000000,60.55555495,60.55555495,56.29629228,69.07408031,1.60000002,1.39914922,37.26404208,24.90893256,56.73225594,-63.05577090,-79.16663837,-5.88235453,75.87370285,0.05153179,0.05153179,1.56834563,1.64823786,1.72813008,1.54999995,1.66999995,1.78999996,8.09900236,39.55037266,0.00265553,3.75000000,4.00000000,4.80000019,0.20999999,0.28000000,0.36000001,,
2019-12-13,1.58000004,1.60000002,1.58000004,1.60000002,1500,1.66866668,1.68510003,1.63141754,1.64364378,1.65411101,1.74060995,-0.01659498,44.42470660,1.54304605,1.64350001,1.74395396,12.22439350,0.28348295,0.04863030,1000.00000000,54.44446546,54.44446546,58.51852022,46.29635594,1.59333336,1.40696623,37.56320510,24.07865016,58.17448740,-75.46654542,-79.16663837,-3.03030064,71.36968792,0.05153179,0.05153179,1.56755081,1.64364378,1.71973674,1.54999995,1.66999995,1.78999996,7.41326091,38.31854981,0.00265553,3.75000000,4.00000000,4.80000019,0.20999999,0.28000000,0.36000001,,
2019-12-16,1.58000004,1.58000004,1.58000004,1.58000004,1000,1.66466668,1.68210003,1.62206890,1.63758247,1.64932966,1.73742956,-0.01964893,42.91005537,1.53629350,1.64050001,1.74470652,12.70423728,0.20971117,0.04726694,0.00000000,36.11117199,36.11117199,50.37039747,7.59272103,1.58000004,1.41462691,37.84099933,23.24425639,56.15857581,-87.40623719,-87.49996302,-1.24999873,71.81003966,0.05345681,0.05345681,1.56492693,1.63758247,1.71023800,1.54999995,1.66999995,1.78999996,6.92285223,37.06306917,0.00285763,3.75000000,4.00000000,4.80000019,0.20999999,0.28000000,0.36000001,,
2019-12-17,1.50000000,1.50000000,1.50000000,1.50000000,200,1.65800001,1.67830003,1.59987456,1.62447938,1.63969549,1.73272798,-0.02819947,37.53509210,1.51345730,1.63050001,1.74754271,14.35666450,-0.05748884,0.04882567,-200.00000000,22.22226481,22.22226481,37.59263409,-8.51847373,1.50000000,1.42213437,38.76073315,20.22516465,61.85294087,-186.78486798,-100.00000000,-8.53658481,69.68115153,0.06004164,0.06004164,1.54350531,1.62447938,1.70545344,1.50000000,1.64499998,1.78999996,6.97592498,39.87729918,0.00360500,3.75000000,4.00000000,4.80000019,0.20999999,0.28000000,0.36000001,,
2019-12-18,1.59000003,1.59000003,1.59000003,1.59000003,100,1.65033335,1.67720003,1.59807919,1.62119563,1.63648933,1.72990169,-0.02739777,45.58638707,1.51802515,1.62250001,1.72697486,12.87825643,0.34446029,0.05078637,-100.00000000,25.98042650,25.98042650,28.10462110,21.73203729,1.59000003,1.42949168,37.88284003,31.07179316,53.44307241,-48.34174850,-68.96550262,-6.47058922,68.39890881,0.05359447,0.05359447,1.53079052,1.62119563,1.71160074,1.50000000,1.62500000,1.75000000,6.60016333,43.31566428,0.00287237,3.75000000,4.00000000,4.80000019,0.20999999,0.28000000,0.36000001,,
2019-12-23,1.54999995,1.54999995,1.50000000,1.50000000,700,1.62900001,1.67300002,1.57806141,1.60453308,1.62225297,1.71997200,-0.03149555,39.66759123,1.51154513,1.60300001,1.69445489,11.41046498,-0.06311928,0.04815687,-800.00000000,35.29413772,35.29413772,41.17649400,23.52942514,1.51666665,1.45069245,36.48655659,26.56122722,60.20155239,-170.03381190,-100.00000000,-11.76470848,64.37633435,0.04691536,0.04691536,1.52043323,1.60453308,1.68863293,1.50000000,1.58499998,1.66999996,6.11576631,45.00172436,0.00220105,3.75000000,4.00000000,4.80000019,0.20999999,0.28000000,0.36000001,,
2020-01-02,1.50000000,1.50000000,1.50000000,1.50000000,500,1.59600001,1.66100002,1.52341722,1.55734025,1.58193647,1.69509689,-0.04206354,39.66759123,1.44430095,1.57250000,1.70069905,16.30512577,0.21723659,0.03593534,-800.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.50000000,1.48942699,37.30718969,26.56122722,60.20155239,-85.83433104,-100.00000000,-5.06329354,69.16431729,0.06576473,0.06576473,1.51120838,1.55734025,1.60347212,1.50000000,1.58499998,1.66999996,8.00653722,39.87329743,0.00432500,3.75000000,4.00000000,4.80000019,0.20999999,0.28000000,0.36000001,,
2020-02-05,1.40999997,1.40999997,1.40999997,1.40999997,200,1.47433335,1.61140002,1.45171881,1.46706031,1.48611836,1.61001050,-0.02392877,29.47868442,1.42237204,1.46150003,1.50062802,5.35449698,-0.15809751,0.02233432,1300.00000000,66.66666667,66.66666667,87.11111289,25.77777422,1.40999997,1.25420000,64.92011443,7.89353574,79.29834840,-191.35825941,-36.00001200,-6.00000200,0.00000000,0.02007223,0.02007223,1.43693582,1.46706031,1.49718480,1.25000000,1.37500000,1.50000000,2.65705595,15.29649365,0.00040289,3.75000000,4.00000000,4.80000019,0.20999999,0.28000000,0.36000001,,
