date,close,pos,returns,strategy_returns,equity_curve
2024-08-07,0.6179999709129333,0,0.6702701701309852,0.0,29081.009263522617
2024-08-08,0.5799999833106995,0,-0.06148865597210118,-0.0,29081.009263522617
2024-08-09,0.5419999957084656,0,-0.06551722188908704,-0.0,29081.009263522617
2024-08-12,0.4909999966621399,0,-0.09409593994491083,-0.0,29081.009263522617
2024-08-13,0.4729999899864197,0,-0.03665989164579597,-0.0,29081.009263522617
2024-08-14,0.4749999940395355,0,0.004228338468195814,0.0,29081.009263522617
2024-08-15,0.5929999947547913,0,0.2484210572546539,0.0,29081.009263522617
2024-08-16,0.753000020980835,0,0.2698145491421202,0.0,29081.009263522617
2024-08-19,0.906000018119812,-1,0.2031872415351117,0.0,29081.009263522617
2024-08-20,1.3200000524520874,-1,0.45695367113947105,-0.45695367113947105,15792.335320114991
2024-08-21,1.2899999618530271,-1,-0.022727340459821055,0.022727340459821055,16151.2531015909
2024-08-22,1.25,-1,-0.03100772328362633,0.03100772328362633,16652.066688448846
2024-08-23,1.3799999952316284,-1,0.10399999618530265,-0.10399999618530265,14920.25181637276
2024-08-26,1.6399999856948853,-1,0.18840579084177222,-0.18840579084177222,12109.18997335066
2024-08-27,1.5800000429153442,-1,-0.03658533128225516,0.03658533128225516,12552.208700085454
2024-08-28,1.4500000476837158,-1,-0.08227847575988567,0.08227847575988567,13584.985299348462
2024-08-29,1.4500000476837158,-1,0.0,-0.0,13584.985299348462
2024-08-30,1.25,-1,-0.1379310628321726,0.1379310628321726,15458.776760247036
2024-09-03,1.2699999809265137,-1,0.015999984741210893,-0.015999984741210893,15211.436567965298
2024-09-04,1.0399999618530271,-1,-0.18110237994310263,0.18110237994310263,17966.263932777354
2024-09-05,1.1299999952316284,-1,0.0865384968074836,-0.0865384968074836,16411.490458788296
2024-09-06,1.0800000429153442,-1,-0.0442477455993574,0.0442477455993574,17137.661913515036
2024-09-09,1.1100000143051147,-1,0.027777750183035854,-0.027777750183035854,16661.61622216009
2024-09-10,1.0399999618530271,-1,-0.0630631095044708,0.0630631095044708,17712.34955049964
2024-09-11,1.0299999713897705,-1,-0.009615375798128989,0.009615375798128989,17882.660447695514
2024-09-12,1.0199999809265137,-1,-0.009708728874782357,0.009708728874782357,18056.278349541986
2024-09-13,0.9359999895095824,-1,-0.08235293430165569,0.08235293430165569,19543.265854194226
2024-09-16,0.9139999747276306,0,-0.023504289560386304,0.023504289560386304,20002.616433786814
2024-09-17,0.8989999890327454,0,-0.01641136335846749,-0.0,20002.616433786814
2024-09-18,0.8460000157356262,0,-0.05895436478719318,-0.0,20002.616433786814
2024-09-19,0.9229999780654908,0,0.09101650224310043,0.0,20002.616433786814
2024-09-20,0.765999972820282,0,-0.1700975178507198,-0.0,20002.616433786814
2024-09-23,0.7300000190734863,0,-0.046997330318759634,-0.0,20002.616433786814
2024-09-24,0.7940000295639038,0,0.08767124495646739,0.0,20002.616433786814
2024-09-25,0.8339999914169312,0,0.05037778383332925,0.0,20002.616433786814
2024-09-26,0.8539999723434448,0,0.02398079272463116,0.0,20002.616433786814
2024-09-27,0.906000018119812,0,0.06088998531659762,0.0,20002.616433786814
2024-09-30,0.8389999866485596,0,-0.07395146813605491,-0.0,20002.616433786814
2024-10-01,0.7720000147819519,0,-0.07985694032516433,-0.0,20002.616433786814
2024-10-02,0.7400000095367432,0,-0.041450783202701125,-0.0,20002.616433786814
2024-10-03,0.6940000057220459,0,-0.062162166516044115,-0.0,20002.616433786814
2024-10-04,0.7170000076293945,0,0.033141212849730595,0.0,20002.616433786814
2024-10-07,0.6970000267028809,-1,-0.027893975890794342,-0.0,20002.616433786814
2024-10-08,0.625,-1,-0.10329989088160141,0.10329989088160141,22068.88452874352
2024-10-09,0.7099999785423279,-1,0.13599996566772465,-0.13599996566772465,19067.516990509423
2024-10-10,0.6909999847412109,-1,-0.02676055545821998,0.02676055545821998,19577.7743363845
